Format Version,1.23,Take Name,Take 2021-08-31 04.28.09 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-08-31 04.28.10.058 PM,Capture Start Frame,617850,Total Frames in Take,2182,Total Exported Frames,2182,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003,RigidBody 003
,ID,"5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695","5DADD69E0AB111EC23E9D89881B83695"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z
0,0.000000,-8.258584,-0.011320,-0.429863,-1.226974,2.002248,1.470054
1,0.010000,-8.268117,-0.001538,-0.414619,-1.226991,2.002242,1.470047
2,0.020000,-8.270480,-0.015939,-0.439578,-1.226994,2.002250,1.470051
3,0.030000,-8.227786,-0.109374,-0.482469,-1.227038,2.002298,1.470133
4,0.040000,-8.242010,-0.061213,-0.389234,-1.227021,2.002222,1.470060
5,0.050000,-8.274539,-0.012929,-0.406602,-1.226987,2.002256,1.470044
6,0.060000,-8.264658,-0.023295,-0.423779,-1.226988,2.002240,1.470044
7,0.070000,-8.261951,-0.005472,-0.412281,-1.226996,2.002256,1.470062
8,0.080000,-8.265175,0.001518,-0.414546,-1.226998,2.002260,1.470039
9,0.090000,-8.252443,0.026617,-0.442094,-1.227002,2.002269,1.470038
10,0.100000,-8.274426,-0.011067,-0.408670,-1.226976,2.002256,1.470045
11,0.110000,-8.221618,-0.059158,-0.489388,-1.227053,2.002325,1.470109
12,0.120000,-8.260716,0.022652,-0.425763,-1.226990,2.002269,1.470029
13,0.130000,-8.255589,0.032112,-0.438265,-1.226988,2.002272,1.470041
14,0.140000,-8.235119,-0.048589,-0.408852,-1.227013,2.002228,1.470068
15,0.150000,-8.247365,0.025651,-0.433262,-1.227001,2.002280,1.470044
16,0.160000,-8.247396,0.019267,-0.429681,-1.226986,2.002267,1.470046
17,0.170000,-8.250157,-0.010737,-0.419041,-1.227001,2.002245,1.470045
18,0.180000,-8.251809,0.009526,-0.435491,-1.227004,2.002263,1.470031
19,0.190000,-8.282105,-0.055798,-0.281929,-1.227056,2.002315,1.470051
20,0.200000,-8.280951,-0.028041,-0.426067,-1.227001,2.002246,1.470051
21,0.210000,-8.275661,-0.019008,-0.421560,-1.227001,2.002238,1.470046
22,0.220000,-8.264696,-0.018372,-0.425523,-1.227010,2.002238,1.470040
23,0.230000,-8.219245,-0.102082,-0.469511,-1.227046,2.002284,1.470133
24,0.240000,-8.264463,0.027404,-0.431285,-1.227001,2.002265,1.470043
25,0.250000,-8.260538,-0.017001,-0.426614,-1.227005,2.002222,1.470055
26,0.260000,-8.266102,-0.030595,-0.408573,-1.227005,2.002244,1.470061
27,0.270000,-8.272786,-0.014315,-0.407654,-1.227014,2.002244,1.470058
28,0.280000,-8.250269,0.018168,-0.445501,-1.226999,2.002258,1.470037
29,0.290000,-8.259297,-0.017235,-0.421478,-1.226994,2.002239,1.470044
30,0.300000,-8.264342,-0.006038,-0.423753,-1.226989,2.002247,1.470049
31,0.310000,-8.255230,0.023519,-0.424388,-1.227014,2.002269,1.470037
32,0.320000,-8.258819,-0.007880,-0.441700,-1.226987,2.002247,1.470040
33,0.330000,-8.262353,-0.008574,-0.414768,-1.227000,2.002241,1.470052
34,0.340000,-8.268085,-0.010884,-0.416922,-1.226987,2.002248,1.470048
35,0.350000,-8.268405,-0.007642,-0.421520,-1.226981,2.002242,1.470057
36,0.360000,-8.261304,-0.023059,-0.414481,-1.226980,2.002227,1.470044
37,0.370000,-8.231586,-0.085670,-0.487953,-1.227041,2.002299,1.470133
38,0.380000,-8.268572,-0.039978,-0.422077,-1.226983,2.002242,1.470069
39,0.390000,-8.264786,-0.022531,-0.422202,-1.226983,2.002237,1.470044
40,0.400000,-8.268710,-0.011872,-0.423452,-1.226975,2.002235,1.470054
41,0.410000,-8.269325,0.000239,-0.440174,-1.226985,2.002255,1.470042
42,0.420000,-8.258787,-0.005964,-0.421303,-1.226992,2.002240,1.470051
43,0.430000,-8.267420,-0.013273,-0.424662,-1.226981,2.002242,1.470048
44,0.440000,-8.268949,-0.011963,-0.422971,-1.226979,2.002238,1.470059
45,0.450000,-8.264542,-0.016422,-0.420968,-1.227015,2.002246,1.470046
46,0.460000,-8.279338,-0.007299,-0.431802,-1.227004,2.002250,1.470051
47,0.470000,-8.280444,-0.048502,-0.270972,-1.227043,2.002321,1.470036
48,0.480000,-8.278793,-0.022235,-0.284997,-1.227059,2.002341,1.470034
49,0.490000,-8.263847,-0.030632,-0.417995,-1.226982,2.002239,1.470051
50,0.500000,-8.275459,-0.022764,-0.423270,-1.226999,2.002228,1.470048
51,0.510000,-8.263919,-0.011511,-0.425181,-1.226982,2.002246,1.470050
52,0.520000,-8.260236,0.007163,-0.435634,-1.227011,2.002258,1.470040
53,0.530000,-8.254620,0.027029,-0.454005,-1.226999,2.002278,1.470044
54,0.540000,-8.269409,-0.010108,-0.424373,-1.226969,2.002239,1.470057
55,0.550000,-8.270249,-0.010687,-0.301219,-1.227038,2.002354,1.470036
56,0.560000,-8.265302,-0.003046,-0.433945,-1.226989,2.002245,1.470049
57,0.570000,-8.276317,-0.057753,-0.271603,-1.227023,2.002330,1.470039
58,0.580000,-8.260325,-0.029886,-0.432171,-1.226976,2.002233,1.470054
59,0.590000,-8.256480,-0.016929,-0.428987,-1.226983,2.002242,1.470040
60,0.600000,-8.262491,0.027771,-0.447126,-1.226997,2.002258,1.470035
61,0.610000,-8.271973,-0.017587,-0.409342,-1.226983,2.002251,1.470051
62,0.620000,-8.261669,-0.015339,-0.420521,-1.226968,2.002249,1.470060
63,0.630000,-8.259517,0.023022,-0.428343,-1.226981,2.002259,1.470035
64,0.640000,-8.259455,-0.002753,-0.435543,-1.226988,2.002253,1.470057
65,0.650000,-8.260190,0.011320,-0.427020,-1.226995,2.002273,1.470044
66,0.660000,-8.260774,0.030194,-0.434568,-1.226984,2.002264,1.470046
67,0.670000,-8.242949,0.018567,-0.421348,-1.226997,2.002271,1.470033
68,0.680000,-8.285069,-0.060975,-0.278407,-1.227028,2.002327,1.470060
69,0.690000,-8.251320,0.023212,-0.425955,-1.226983,2.002279,1.470050
70,0.700000,-8.268562,-0.044045,-0.267148,-1.227017,2.002334,1.470063
71,0.710000,-8.259616,0.013006,-0.423264,-1.226994,2.002262,1.470043
72,0.720000,-8.257428,-0.011250,-0.402096,-1.226981,2.002269,1.470049
73,0.730000,-8.253104,-0.012211,-0.403344,-1.226953,2.002242,1.470054
74,0.740000,-8.250548,-0.130609,-0.338334,-1.227072,2.002369,1.470137
75,0.750000,-8.283618,-0.055670,-0.279686,-1.227041,2.002326,1.470051
76,0.760000,-8.251815,0.025043,-0.429006,-1.226996,2.002278,1.470034
77,0.770000,-8.260822,-0.013414,-0.415390,-1.227002,2.002262,1.470049
78,0.780000,-8.283344,-0.070759,-0.275125,-1.227049,2.002335,1.470060
79,0.790000,-8.270382,-0.009190,-0.274327,-1.227060,2.002354,1.470038
80,0.800000,-8.265785,-0.029693,-0.427706,-1.226998,2.002246,1.470054
81,0.810000,-8.260910,-0.014495,-0.414349,-1.226997,2.002241,1.470049
82,0.820000,-8.261534,-0.024218,-0.422338,-1.227007,2.002236,1.470046
83,0.830000,-8.281419,-0.038613,-0.282570,-1.227043,2.002323,1.470064
84,0.840000,-8.260750,-0.008504,-0.423858,-1.226990,2.002246,1.470048
85,0.850000,-8.265216,-0.019232,-0.412987,-1.226971,2.002239,1.470064
86,0.860000,-8.262045,-0.022854,-0.426814,-1.226974,2.002250,1.470067
87,0.870000,-8.255153,0.031298,-0.427876,-1.226997,2.002285,1.470039
88,0.880000,-8.257051,0.018584,-0.436922,-1.226989,2.002262,1.470053
89,0.890000,-8.260904,-0.027226,-0.407068,-1.226984,2.002255,1.470054
90,0.900000,-8.261369,-0.024544,-0.419639,-1.226984,2.002255,1.470060
91,0.910000,-8.261434,-0.023314,-0.416424,-1.226982,2.002228,1.470054
92,0.920000,-8.262313,-0.015390,-0.424380,-1.226978,2.002244,1.470035
93,0.930000,-8.270578,-0.018735,-0.424152,-1.227010,2.002242,1.470054
94,0.940000,-8.250504,0.019558,-0.444976,-1.226983,2.002275,1.470049
95,0.950000,-8.249935,0.044987,-0.430914,-1.226992,2.002276,1.470042
96,0.960000,-8.253922,0.025511,-0.433706,-1.226986,2.002262,1.470034
97,0.970000,-8.224218,-0.094304,-0.485226,-1.227025,2.002293,1.470149
98,0.980000,-8.228680,-0.114525,-0.470578,-1.227009,2.002282,1.470151
99,0.990000,-8.271412,-0.026294,-0.415652,-1.226964,2.002244,1.470075
100,1.000000,-8.284971,-0.047899,-0.288324,-1.227025,2.002310,1.470069
101,1.010000,-8.282283,-0.051019,-0.289406,-1.227026,2.002311,1.470071
102,1.020000,-8.274631,-0.025851,-0.424892,-1.226978,2.002243,1.470074
103,1.030000,-8.293085,-0.040799,-0.280405,-1.227023,2.002339,1.470076
104,1.040000,-8.256962,0.014559,-0.428005,-1.226991,2.002293,1.470049
105,1.050000,-8.270210,-0.021459,-0.408403,-1.226969,2.002257,1.470066
106,1.060000,-8.255463,0.019996,-0.424884,-1.226997,2.002269,1.470049
107,1.070000,-8.257830,-0.014215,-0.427169,-1.226992,2.002241,1.470060
